STATE/UT,YEAR,TYPE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Andhra Pradesh,2001,Road Accidents,2204,2437,2405,2351,2550,2284,2025,2077,2070,2276,2122,2387,27188
Andhra Pradesh,2001,Rail-Road Accidents,47,40,52,50,51,48,55,54,55,72,62,37,623
Andhra Pradesh,2001,Other Railway Accidents,43,48,61,71,51,65,59,61,54,62,41,58,674
Andhra Pradesh,2002,Road Accidents,2492,2453,2835,2786,3195,2880,2645,2607,2555,2624,2646,2859,32577
Andhra Pradesh,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,1,3,0,0,4
Andhra Pradesh,2002,Other Railway Accidents,104,97,115,138,112,106,95,93,101,79,87,58,1185
Andhra Pradesh,2003,Road Accidents,2783,2569,2870,2635,3265,2924,2657,2934,2767,2881,3037,3215,34537
Andhra Pradesh,2003,Rail-Road Accidents,25,18,26,13,32,18,44,36,16,28,19,16,291
Andhra Pradesh,2003,Other Railway Accidents,53,49,32,40,43,45,47,38,41,37,32,33,490
Andhra Pradesh,2004,Road Accidents,3019,3131,3211,3100,3257,2942,2827,3079,2972,3041,3129,3370,37078
Andhra Pradesh,2004,Rail-Road Accidents,11,9,10,9,8,10,9,11,12,12,8,10,119
Andhra Pradesh,2004,Other Railway Accidents,44,88,80,90,80,80,84,92,102,84,88,80,992
Andhra Pradesh,2005,Road Accidents,3189,3193,3182,3056,3612,3247,2907,3028,2742,2928,2975,3230,37289
Andhra Pradesh,2005,Rail-Road Accidents,0,0,1,1,0,1,1,1,0,0,0,1,6
Andhra Pradesh,2005,Other Railway Accidents,76,122,133,119,115,137,120,122,121,107,112,106,1390
Andhra Pradesh,2006,Road Accidents,3568,3224,3496,3634,3962,3400,3334,3311,3232,3306,3268,3588,41323
Andhra Pradesh,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2006,Other Railway Accidents,150,174,170,164,177,176,166,147,160,158,166,150,1958
Andhra Pradesh,2007,Road Accidents,3978,3530,3728,3842,4099,3594,3519,3348,3246,3447,3617,3646,43594
Andhra Pradesh,2007,Rail-Road Accidents,0,0,0,1,0,0,1,1,0,0,0,0,3
Andhra Pradesh,2007,Other Railway Accidents,168,164,175,176,175,180,181,161,178,184,174,158,2074
Andhra Pradesh,2008,Road Accidents,3594,3468,3848,3967,3811,3391,3260,3324,3169,3352,3319,3603,42106
Andhra Pradesh,2008,Rail-Road Accidents,1,0,2,0,1,1,1,1,1,1,0,2,11
Andhra Pradesh,2008,Other Railway Accidents,109,126,143,126,154,215,165,228,157,181,174,167,1945
Andhra Pradesh,2009,Road Accidents,3682,3494,3775,3450,4048,3763,3412,3488,3017,3253,3298,3331,42011
Andhra Pradesh,2009,Rail-Road Accidents,0,0,0,0,1,2,1,0,0,0,0,0,4
Andhra Pradesh,2009,Other Railway Accidents,110,92,113,132,131,112,121,142,110,121,110,108,1402
Andhra Pradesh,2010,Road Accidents,3515,3434,3749,3857,3960,3765,3206,3416,3115,3439,3397,3575,42428
Andhra Pradesh,2010,Rail-Road Accidents,54,51,52,60,63,62,62,63,62,65,54,42,690
Andhra Pradesh,2010,Other Railway Accidents,76,66,63,81,68,82,71,62,89,79,69,67,873
Andhra Pradesh,2011,Road Accidents,3540,3195,3584,3396,3916,3793,3237,3106,3067,3398,3442,3392,41066
Andhra Pradesh,2011,Rail-Road Accidents,46,51,58,62,69,45,62,52,58,61,48,63,675
Andhra Pradesh,2011,Other Railway Accidents,105,105,104,115,141,141,98,114,114,108,121,96,1362
Andhra Pradesh,2012,Road Accidents,3347,3390,3693,3589,3250,3187,3160,3177,2893,3205,2985,3468,39344
Andhra Pradesh,2012,Rail-Road Accidents,0,2,0,0,0,0,0,1,0,0,0,0,3
Andhra Pradesh,2012,Other Railway Accidents,224,208,242,222,228,224,209,206,226,257,205,241,2692
Arunachal Pradesh,2001,Road Accidents,19,17,21,16,19,14,21,14,23,17,30,25,236
Arunachal Pradesh,2001,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2001,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,Road Accidents,25,16,21,23,16,19,11,17,18,21,25,23,235
Arunachal Pradesh,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Road Accidents,16,24,22,13,18,17,19,21,23,18,16,22,229
Arunachal Pradesh,2003,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,Road Accidents,23,24,23,11,15,11,14,8,21,29,17,21,217
